ts_utc,symbol,reason,extra
2025-09-28T06:12:57+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0335, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:12:57+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:12:58+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0549, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:58+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:58+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0090, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:59+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:13:04+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0336, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:13:05+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:13:05+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0550, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:13:05+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:13:06+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0092, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:13:06+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:13:11+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0336, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:13:12+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:13:12+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0551, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:13:13+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:13:13+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0092, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:13:13+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:13:19+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0336, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:13:19+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:13:19+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0551, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:13:20+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:13:21+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0092, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:13:21+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
